title,abstract,year,venue
PLoS Computational Biology Conference Postcard from PSB 2011,"We were pleased to see PLoS Conference Postcards return to the Pacific Symposium on Biocomputing (PSB), held January 4–11, 2011. This year we received a Postcard from A. Murat Eren, a PhD student at the University of New Orleans, in which he discusses a software package designed for use in microbial ecology research. We hope to see Conference Postcards at ISMB 2011, and if you would like to contribute a Postcard you can find out more at: http://www.ploscompbiol.org/doi/pcbi.1000746.",2010,PLoS Comput. Biol.
Advancing code sharing in the computational biology community,"Lauren CadwalladerID *, Feilim Mac GabhannID, Jason PapinID, Virginia E. PitzerID 1 AU : Pleasenotethatasperstyle; streetaddresses; postalcodes; orpostofficeboxshouldberemovedfromtheaffiliations: PLOS, San Francisco, California, United States of America, 2 Department of Bio edical Engineering and Institute for Computational Medicine, Johns Hopkins University, Baltimore, Maryland, United States of America, 3 Department of Biomedical Engineering, University of Virginia, Charlottesville, Virginia, United States of America, 4 Department of Epidemiology of Microbial Diseases and Public Health Modeling Unit, Yale School of Public Health, New Haven, Connecticut, United States of America",2022,PLoS Comput. Biol.
Wisdom of crowds in computational biology,"Scientific advances are frequently catalyzed by exploring the intersection of disciplines. From its inception, PLOS Computational Biology has published key insights that advance our understanding of biology and medicine—advances enabled by developments in computation and quantitative analyses. As an example, a recent initiative across the journals PLOS Medicine, PLOS ONE, and PLOS Computational Biology [1] resulted in a fantastic collection of research in Machine Learning in Health and Biomedicine. The breadth of research published in PLOS Computational Biology at this intersection of machine learning and health and biology was incredible, from the use of machine learning analysis to delineate biomarkers for soft tissue sarcomas [2] to the prediction of antibiotic resistance in Escherichia coli from pan-genome data [3]. We’re only beginning to see the power of machine learning applied to health and biology, with the hope of identifying patterns in the biological and clinical data that will lead to biomarkers of disease and the development of new clinical intervention strategies. As these data-driven strategies evolve and mature, they may also lead to a richer understanding of biological mechanisms, enabling models to predict the outcomes of scenarios and perturbations beyond the bounds of previous studies and data. Many more cross-journal initiatives are in the works, exploring how disparate disciplines can be brought together to tackle seemingly intransigent problems with unique perspectives. Just launched is a Targeted Anticancer Therapies and Precision Medicine call for papers jointly with PLOS ONE and PLOS Computational Biology [4]. With nearly 10 million people dying from cancer in 2018 [5] and an increasing appreciation of the heterogeneity of the disease [6], there is an urgent need to develop targeted therapies that can be dosed, scheduled, delivered, and combined in ways that are specific to the patient. Computational approaches to this precision medicine challenge can serve as the common framework that integrates the disparate fields of expertise needed to understand the biological, pharmacological, and physiological complexity of the system. Computation can link, leverage, and amplify expertise in all the areas that are needed to understand biology and medicine: molecular dynamics, biochemistry, cell biology, human physiology, pharmacometrics, clinical practice, and more. These interdisciplinary links enable us to predict protein structure changes from gene variant data, to predict pharmacodynamics of associated drug compounds, to identify correlations in data, and simply to handle and process the vast amounts of data. As we do in these scientific ventures, so we do in managing the activity of PLOS Computational Biology. This journal, like the other PLOS community journals, is led by more than 160 practicing scientists with a variety of disciplinary backgrounds. All papers submitted to the journal are evaluated by multiple scientists through the peer review process and by teams of scientists at the editorial stage. It is with this integration of these different opinions of scientists from different subdisciplines of computational biology that we try to identify and support the",2019,PLoS Comput. Biol.
Advancements and Challenges in Computational Biology,"Computational biology has soared from being an auxiliary discipline to being a crucial element for progress in practically all aspects of the biological sciences. In this annual Editorial, I would like to step back, consider significant computational biology advances of the last decade, and reflect on some key challenges ahead. The timing is particularly appropriate. PLOS Computational Biology, the premier journal in computational biology, is approaching its tenth anniversary. The task is daunting; not only has the field come a long way in ten years but it is broad with many advances to consider. In addition, since computational biology has become closely tied to experimental research, progress is not purely computational; it is tied to experiment. And that's as it should be. Ten years ago, computational biology was not entirely trusted by experimental biologists. By contrast, today computational biology is integrated in the community. It's easier for computational biologists to collaborate across disciplines. Laboratory scientists have a better understanding of the merit of computational models for hypothesis generation as well as the need to iterate between modeling and laboratory testing [1]. 
 
We have witnessed huge leaps in biological computing [2]. We now have at our disposal large information-rich resources, and we are increasingly able to integrate and understand the vast quantities of data that they encompass. We have also made big strides toward multiscale biological modeling, and we have a vastly more networked world of researchers and their data. Analysis of massive gene expression and proteomic data permitted the construction of comprehensive and predictive models for cellular pathways, as well as software for inferring interaction networks, and steps toward modeling of cells. Genes susceptible to disease have been identified and, on a different level, the electrical behavior of neurons has been modeled. Molecules have been imaged in action and networks that regulate cell functions untangled. Matching targets for selective cancer therapy is difficult. Nonetheless, recent strategies have been proposed to restrict the combinatorial space, minimize toxicity, and increase the precision and power of such restrictive combinations, altogether leading to drugs that could be tested in clinical trials. Leveraging the enhanced identification of drug targets, including repertoires of redundant pathway combinations, has been helped by such innovative concepts [3]. 
 
Formidable challenges include: the establishment of computer networks for surveillance of disease; mapping the pathways and biological networks associated with the initiation, growth and spread of cancer; predicting function and mutational dysfunction in disease from the structure of complex molecules; resolving the mechanisms of oncogenic mutations and the cellular network which is rewired in cancer; achieving accurate, efficient, and comprehensive dynamic models; and moving from artificial intelligence to the “connectome”—the connections among all of the neurons of the brain. Multiscale biological modeling—an area where vast progress has been made during the last decade—still faces major challenges. To tackle this aim, hybrid methods across disciplines, scales, and sources are essential. Hybrid methods integrate data from, for example, serial crystallography and time-resolved wide-angle X-ray scattering, micro- and nano-crystals for (future) free-electron lasers, electron microscopy, fluorescence resonance energy transfer (FRET), cross-linking data, small-angle X-ray scattering, crystallography, nuclear magnetic resonance (NMR), and more. Equally important is the development of protocols for model validation. We may expect an influx of models based on experimental data integration. If these are to be deposited in a public archival system, which is now a community aim, such clear protocols are essential for maintaining quality control. Finally, studying the dynamics of large integrated models is increasingly used to improve our understanding of how large complexes function in the cell and how they are regulated. The dynamics of such large associations provides an additional hugely complex layer; to date, we are still struggling to comprehend the dynamics of single molecules and their associations. This is compounded by the fact that large regions of the molecules can be disordered, and multiple temporal post-translational modifications take place, with different combinations spelling distinct functions. On a different level, improved tumor mutational analysis platforms and knowledge of the redundant pathways, which can take over in cancer, may not only supplement known actionable findings but forecast possible cancer progression and resistance. Such forward-looking can be powerful, endowing the oncologist with mechanistic insight and cancer prognosis, and consequently more informed treatment options. 
 
Lastly, the community faces the global challenge of linking genetics to phenotype, including the genetics of cancer. Genetics is mediated by dynamic conformational ensembles. Powerful ideas such as that of the free energy landscape [4], imported from physics and chemistry, can help solve the mysteries of life. Biomolecules are not static sculptures; they are dynamic objects that are always interconverting between structures with varying energies. Such ideas help to understand how and why one-dimensionally connected biomolecules can organize themselves into functionally relevant ensembles of three-dimensional conformation [5]. Designing high affinity drugs that work is yet another highly significant aim. 
 
The significance of any research advance and challenge—achieved or aspired to—is a matter of opinion. The list above is partial, incomplete, and possibly biased toward structural biology and cancer. Nonetheless, this list does indicate the magnitude of the tasks confronting computational biology as a discipline. In the absence of a meaningful way to quantify a journal's contribution to a field, it is unclear whether, and to what extent, PLOS Computational Biology has contributed to each advance and challenge. Manuscripts can be declined, for example, because of the absence of substantiating experimental data at the time, lack of sufficient rigor, or if the manuscripts included new experimental data, the authors may have opted for alternative journals. At the same time, it may also suggest that PLOS Computational Biology needs to be more open and receptive to new concepts. Differentiating between novel ideas that may lead to key advances and speculative propositions can, however, be challenging. 
 
PLOS Computational Biology aims to serve the biological community and welcomes manuscripts addressing all areas of computational biology. We encourage submission of research papers describing novel results that provide significant new insights into biological processes and of methods papers presenting new protocols for tackling key problems that have been shown, or have the promise to provide, new biological insights. We aspire to be the journal that will publish key computational advances in the next decade with the rigor that PLOS Computational Biology is known for. The PLOS Computational Biology editorial team seeks to identify and publish only the most outstanding papers, aiming to consider only those that are of exceptional quality. Our goal of furthering our understanding of living systems through the application of computational methods is shared with the International Society for Computational Biology (ISCB); together, we hope to meet the challenge. 
 
Finally, for 2015, our tenth anniversary year, PLOS Computational Biology plans to publish a series of “Focus Features” addressing key areas of computational biology. We welcome suggestions from our community.",2015,PLoS Comput. Biol.
From “What Is?” to “What Isn't?” Computational Biology,"This year, PLOS Computational Biology is celebrating its 10th birthday. Such a milestone provides an excellent occasion to reflect on the transformation that the field has undergone during the journal’s lifetime, and on the challenging question of where we may expect it to go next. As the leading journal in computational biology, PLOS Computational Biology encompasses the entire discipline and is therefore well placed to narrate this remarkable story. The evolution of the journal tells a rewarding story of success and accomplishment.",2015,PLoS Comput. Biol.
Education in Computational Biology Today and Tomorrow,"The etymology of the word “education” in Wikipedia is enlightening: “a rearing” and “I lead forth” (http://en.wikipedia.org/wiki/Education#Etymology). Computational biology educators are leading and raising the next generation of scientists and, in doing so, are in need of new tools, methods, and approaches. The need for education in science, and in computational biology in particular, is greater than ever. Large datasets, -omics technologies, and overlapping domains permeate many of the big research questions of our day. PLOS Computational Biology originally created the Education section to highlight the importance of education in the field [1]. Thus, it was a great honor when Fran Lewitter, Education Editor for the past eight years, along with Philip E. Bourne and Ruth Nussinov, contacted us to work as editors of the PLOS Computational Biology Education section. In our minds, educational initiatives in computational biology and bioinformatics serve two important goals: to communicate digital biology with each other, and to educate others on how best to do this. These are themes we practice as educators in our university teaching, in our involvement with the bioinfomatics.ca workshops series, and in our outreach efforts. We are very excited to continue Fran's great vision as we continue her work with the PLOS Computational Biology staff. 
 
Examples of tutorials, specialized workshops, and outreach programs that bridge the knowledge gap created by this fast pace of research have been previously highlighted in this collection. There have been several types of articles, but two stand out. Firstly, there are tutorials about a specific biological problem requiring a specific approach, tools, and databases. For example, ”Practical Strategies for Discovering Regulatory DNA Sequence Motifs„ by MacIsaak and Fraenkel [2]. Tutorial articles provide theoretical context, as well as the type of questions and how to answer them. The other type of article we frequently find in the Education collection are “primers” or “quick guides.” For example, Eglen's “A Quick Guide to Teaching R Programming to Computational Biology Students” [3] or Bassi's “A Primer on Python for Life Science Researchers” [4]. Both of these examples from the Education collection address an important niche within the community. The “Quick Guide” series provides a more generic introduction to an approach in computational biology that can be applied across multiple domains. All of these types of articles will continue to be well-supported and encouraged in the Education collection. Many other articles have also been well-received, and seem to address gaps in the education material. We want to revisit older collection papers and identify where methods and technologies have evolved to a point where new methods are now in use, and invite previous or new authors to contribute. 
 
These initiatives help to extend computational biology beyond the domain of specialized laboratories. Researchers, at all levels, need to keep themselves up-to-date with the quickly changing world of computational biology, and trainees need programs where bioinformatics skills are embedded so they can have comprehensive training. New bioinformatics workflows can be adopted more widely if education efforts keep pace. As previously pointed out [5], starting early is also very important. There is still room for programs that capture the excitement and enthusiasm of secondary school students and convey the potential of computational biology to the public. We welcome additions to the PLOS Computational Biology “Bioinformatics: Starting Early” collection (www.ploscollections.org/cbstartingearly). 
 
We would like to involve the community in this endeavor. With this editorial, we are calling out to educators and researchers who have experience in teaching, specifically, those keen to raise the expectations and the inquisitiveness of the next generation of biologists. The Education collection will continue to publish leading edge education materials in the form of tutorials that can be used in a “classroom” setting (whatever that may mean nowadays: stated more generically, “the places where people learn”). We will continue to encourage articles set in the context of addressing a particular biological question and, as mentioned above, we welcome new “primers” and “quick guides.” We will also be inviting tutorials from the various computational meetings. A new category of papers that is in the pipeline for the Education collection is the “Quick Tips” format, the first of which was just published [6]. The “Quick Tips” articles address specific tools or databases that are in wide use in the community. 
 
We also hope, and plan, to incorporate new thinking and perspectives in the greater field of education of computational biology and bioinformatics. For example, articles that highlight the use of new tools such as those used in cloud computing or methods for using third and fourth generation sequencing technologies are encouraged. We would also like to see articles that incorporate best practices in teaching, including the use of new media, flexible online teaching tools, and the use and re-use of large well-defined data sets that are computed on in classes, courses, and programs. We encourage articles that highlight new types of training initiatives, the use of workflows to help students in the path to reproducibility in science, and open course materials (open lecture notes and open course notes and datasets for exercises) that reach more learners. 
 
In the end, the Education section belongs to the community and thus comes with responsibilities. We need to identify the gaps and the material with which we want to educate ourselves; we need to recognize and encourage great teachers and writers to communicate openly about what works best with the specific methods. We invite you to contact us via gro.solp@loibpmocsolp with your ideas for the kind of articles you would like to see in the PLOS Computational Biology Education section. We hope to see you in the classroom soon, where we learn together. 
 
 
About The Authors 
Joanne A. Fox (xofnosilaennaoj@ on Twitter) has a PhD in Genetics from the University of British Columbia (UBC). As a faculty member at the Michael Smith Laboratories and in the Department of Microbiology and Immunology at UBC, she is involved in a range of education and outreach initiatives at the undergraduate and secondary school levels, and teaches a variety of courses. She is a former instructor and current review committee member of the Canadian Bioinformatics.ca Workshops. 
 
B.F. Francis Ouellette (offb@ on Twitter) did his graduate studies in Developmental Biology and is now an Associate Professor in Cell and Systems Biology at the University of Toronto, as well as a senior scientist and Associate Director of Informatics and Biocomputing at the Ontario Institute for Cancer Research. He was one of the founders and is still the scientific director and an instructor for the Canadian Bioinformatics.ca Workshops. 
 
The authors have worked together in the past, and have known each other for more than 15 years.",2013,PLoS Comput. Biol.
Bioinformatics and Computational Biology in Poland,"The series of articles in PLOS Computational Biology on the development of bioinformatics activities in various countries, e.g., China [1], Australia [2], and Singapore [3], and the formation and successful development of the Polish Bioinformatics Society over the last five years, have inspired us to present a personal perspective on the advances of bioinformatics in Poland.",2013,PLoS Comput. Biol.
Webb Miller and Trey Ideker To Receive Top International Bioinformatics Awards for 2009 from the International Society for Computational Biology,"Each year, the International Society for Computational Biology (ISCB; http://www.iscb.org) makes two major awards to recognize excellence in the field of bioinformatics. The ISCB Awards Committee, composed of current and past directors of the Society and previous award winners, has announced that the 2009 ISCB Accomplishment by a Senior Scientist Award will be given to Webb Miller (Image 1) of The Pennsylvania State University, University Park, Pennsylvania, United States of America (USA), and the 2009 ISCB Overton Prize for outstanding achievement in early- to mid-career will be awarded to Trey Ideker (Image 2) of the University of California San Diego, La Jolla, California, USA, who serves on the Editorial Advisory Board for PLoS Computational Biology. These awards represent the highest tribute and recognition of scientific excellence within the bioinformatics community, and they are seen as honors well beyond the boundaries of the discipline. Both 2009 award winners started their careers in basic computer science, but since moving into bioinformatics they have made important contributions to biological understanding as well as to algorithm design. 
 
 
 
Image 1 
 
Webb Miller. 
 
 
 
 
 
Trey Ideker. 
 
 
 
Both awards will be presented at the Society's flagship international conference, Intelligent Systems for Molecular Biology (ISMB), where the winners will give keynote presentations. In 2009, the (seventeenth) annual ISMB will be held in conjunction with the European Conference on Computational Biology (ECCB) for the third time; ISMB/ECCB 2009 will take place in Stockholm, Sweden, from June 27 through July 2.",2009,PLoS Comput. Biol.
Computational Biology in Brazil,"At the request of the PLoS Computational Biology Editor-in-Chief, I agreed to write about computational biology in Brazil (see author information in Box 1). That meant describing: a) the history of the field in our country (short as the history of the field itself is short); b) the current state of the field in Brazil; c) the influence of computational biology–related technologies on the development of the national economy; d) the entrepreneurship that is rising from already-established academic activities; and e) educational activities ongoing or planned which are deemed necessary to establish the required critical mass of well-trained specialists. Why is an article like this important now? It is estimated that Brazil combined with China, Russia, and India will have a larger gross national product (GNP) than the US, Japan, Germany, and the UK combined by 2020. In short, we can expect Brazil to have significant impact on the field of computational biology in the years to come, and now is the time to explore that promise. 
 
 
Box 1. Author Biography 
 
Goran Neshich, Ph.D., is the Structural Computational Biology (SCB) group leader at the Brazilian Agricultural Research Corporation (EMBRAPA), National Agricultural Information Technology Research Center (CNPTIA), Campinas, Sao Paulo, Brazil, and associate professor at UNICAMP's Department of Biology. After obtaining his Ph.D. in molecular biophysics from the University of Illinois Urbana-Champaign (Don DeVault's laboratory) in 1989, Neshich conducted his postdoctoral research with Barry Honig at Columbia University. Neshich is the principal author of the STING suite of programs (with the current version being BlueStarSTING), and STING_DB. STING is a popular database and visualization tool providing the largest collection of physicochemical parameters that describe protein structure, stability, function, and interaction with other macromolecules. Neshich chaired a session at the meeting held in November 2004, where the Brazilian Association for Computational Biology and Bioinformatics (AB3C) was inaugurated. He was a member of the Board of Directors of the International Society for Computational Biology (ISCB) from 2003 to 2005 and chair of the Intelligent Systems in Molecular Biology (ISMB) 2006 conference in Fortaleza, Brazil.",2007,PLoS Comput. Biol.
An Open Forum for Computational Biology,"I t is my pleasure to welcome you to PLoS Computational Biology. The International Society for Computational Biology (ISCB) is proud to be, with the Public Library of Science, the co-sponsor of this journal. We believe that PLoS Computational Biology will rapidly become a leading journal in the area of computational biology and, as an official journal of ISCB, will be an important venue in which ISCB members will publish their findings and learn of the work of others, both ISCB members and nonmembers. New journals appear at frequent intervals these days, and one may well ask: why a new computational biology journal? PLoS and ISCB feel that there is both need and interest in a journal with a new focus and new approach to computational biology. This feeling grows out of our recognition of the enormous changes that computation has wrought in both science and communication. In contrast to the situation of only a decade or so ago, almost every area of biology is now affected and enhanced by computational studies. But until the appearance of PLoS Computational Biology, there has been no single publication with a focus on the important contributions of computational studies to the understanding of living systems. PLoS Computational Biology meets this need and provides a forum in which experimentalists and computational scientists can meet, exchange ideas, and develop new solutions to biological questions. The revolution in communication that has grown out of the Internet and World Wide Web infrastructure provides the other motivating force behind the creation of a new journal. Free availability of protein and nucleic acid sequences, protein structures, and other biological data is critical to practitioners of computational biology— support of open-access journals is",2005,PLoS Comput. Biol.
The International Society for Computational Biology 10th Anniversary,"PLoS Computational Biology is the official journal of the International Society for Computational Biology (ISCB), a partnership that was formed during the Journal's conception in 2005. With ISCB being the only international body representing computational biologists, it made perfect sense for PLoS Computational Biology to be closely affiliated. The Society had to take more of a chance than similar societies, choosing to step away from an existing financially beneficial subscription journal to align with an open access publication as a matter of principle. To our knowledge, ISCB was the first major international scientific society to do so. 
 
Now, as PLoS Computational Biology reaches its two-year mark, ISCB simultaneously celebrates its tenth anniversary, having formed officially on June 18, 1997. We early presidents of ISCB reflect on the state of computational biology ten years ago, how far we have come since, and what thought-provoking future challenges might lie ahead with regard to innovations in publishing technologies.",2007,PLoS Comput. Biol.
"Comment on “Broadband Criticality of Human Brain Network Synchronization” by Kitzbichler MG, Smith ML, Christensen SR, Bullmore E (2009) PLoS Comput Biol 5: e1000314","I wish to comment on a paper recently published in the Journal of Neuroscience [1] and relate this paper to one previously published in PLOS Computational Biology [2]. In [1] and [2] among other results, a power law relationship was discovered in a measure of magnetoencephalography (MEG) intra-areal synchronization: the distribution of phase-locking intervals (PLI). However, in [1] the authors also show that the same PLI power law measure cannot distinguish between human MEG and empty MEG scanner data, suggesting that the measure is vulnerable to artefact. 
 
This is important because the first description of the PLI power law methodology, as well as its application to MEG and functional magnetic resonance imaging (fMRI) data, was published in PLOS Computational Biology [2]. The senior author of [2] is also an author of [1]. The results obtained with the PLI methodology published in [2] were presented as evidence for broadband criticality of human brain network synchronization because the PLI method (which applies a threshold to MEG/fMRI data and returns a power law) will also return a power law distribution for PLIs when applied to a model system of Kuramoto oscillators tuned to a critical phase transition. However, it should be noted in this regard that a recent modelling study indicates that power laws also emerge when PLI is applied to noncritical Kuramoto oscillators, and caution is needed when interpreting power laws derived from time series data passed through a threshold [3]. 
 
The paper published in PLOS Computational Biology [2] has received multiple citations, and the PLI methodology has been further applied to human neurophysiological data in other studies. From its use, claims have been made about changes in broadband criticality during disease states, e.g., epilepsy [4]. 
 
I am concerned that the results presented in [1] indicate that the methodology described in [2] may be unsound and therefore should not be used for inferring criticality of human brain network synchronisation. The presentation of the empty MEG scanner results in [1] is not sufficiently explicit in this sense, and it should have been made much clearer that the influential PLI power law methodology presented in [2] might be problematic. 
 
Science of course moves forward through a process of exploration and correction, and the initial idea presented in PLOS Computational Biology [2] was exciting and innovative; however, the authors should reconsider the interpretation of their findings in light of the empty MEG scanner data. I feel it is therefore important to bring these papers and their conflicting results to the attention of the readers of PLOS Computational Biology and I would ask that the authors of [1,2] clarify the discrepancy in between their data sets and publish an erratum in PLOS Computational Biology if a conflict exists.",2015,PLoS Comput. Biol.
PEtab—Interoperable specification of parameter estimation problems in systems biology,"Reproducibility and reusability of the results of data-based modeling studies are essential. Yet, there has been—so far—no broadly supported format for the specification of parameter estimation problems in systems biology. Here, we introduce PEtab, a format which facilitates the specification of parameter estimation problems using Systems Biology Markup Language (SBML) models and a set of tab-separated value files describing the observation model and experimental data as well as parameters to be estimated. We already implemented PEtab support into eight well-established model simulation and parameter estimation toolboxes with hundreds of users in total. We provide a Python library for validation and modification of a PEtab problem and currently 20 example parameter estimation problems based on recent studies.",2020,PLoS Comput. Biol.
Ten Simple Rules for a Community Computational Challenge,"In science, the relationship between methods and discovery is symbiotic. As we discover more, we are able to construct more precise and sensitive tools and methods that enable further discovery. With better lens crafting came microscopes, and with them the discovery of living cells. In the last 40 years, advances in molecular biology, statistics, and computer science have ushered in the field of bioinformatics and the genomic era. 
 
Computational scientists enjoy developing new methods, and the community encourages them to do so. Indeed, the editorial guidelines for PLOS Computational Biology require manuscripts to apply novel methods. However, it is often confusing to know which method to choose: which method is best? And, in this context, what does “best” mean? 
 
To help choose an appropriate method for a particular task, scientists often form community-based challenges for the unbiased evaluation of methods in a given field. These challenges help evaluate existing and novel methods, while helping to coalesce a community and leading to new ideas and collaborations. 
 
In computational biology, the first of these challenges was arguably the Critical Assessment of protein Structure Prediction, or CASP [1], whose goal is to evaluate methods for predicting three-dimensional protein structure from amino acid sequence. The first CASP meeting was held in December of 1994, following a “prediction period” where members of the community were presented with protein amino acid sequences and asked to predict their three dimensional structures. The sequences that were chosen had recently been solved by X-ray crystallography but had not been not published or released until after the predictions from the community were made. Since the first CASP, we have seen many successful challenges, including Critical Assessment of Function Annotation (CAFA) for protein function prediction [2], Critical Assessment of Genome Interpretation (CAGI) (for genome interpretation) [3], Critical Assessment of Massive (originally “Microarray”) Data Analysis (CAMDA) (for large-scale biological data) [4], BioCreative (for biomedical text mining) [5], the Assemblathon (for sequence assembly), and the NCI-DREAM Challenges (for various biomedical challenges), amongst others [6]. 
 
Computational challenges also help solve new problems. While the original CASP experiment was developed to evaluate existing methods applied to current problems, other communities often look at other areas for which there are no existing tools. These challenges have spread successfully to industry, and companies such as Innocentive [7] and X-Prize [8] offer large prizes for solving novel questions. 
 
Because these challenges are, on one hand, an exercise in community collaboration, and on the other, a competition, organizing a challenge is littered with difficulties and pitfalls. Having served as organizers, predictors, and assessors within several existing communities, we present ten rules we believe should be observed when organizing a computational methods challenge:",2015,PLoS Comput. Biol.
For long-term sustainable software in bioinformatics,This is a PLOS Computational Biology Benchmarking paper.,2024,PLoS Comput. Biol.
Ten simple rules for scientists engaging in science communication,"This is a PLOS Computational Biology Methods paper. There are clear moral and professional imperatives for scientists to participate in communicating their research to the public [1–3]. Many scientists want to share their findings and excitement of science or encourage interest and appreciation of their work. They may want to improve the public’s understanding of their field or dispel misinformation. They may also be curious about how their work is viewed by society and benefit from interacting with new ideas and perspectives. Increasingly, science communication is a formal responsibility for researchers as funding bodies and institutions encourage or even require scientists to engage in science communication or outreach work (Broader Impacts for National Science Foundation grants, NSERC’s PromoScience program, etc.). Despite there being many excellent reasons for scientists to engage in science communication, they often lack the tools to do so. Explicit training in nonexpert communication remains uncommon in graduate programs (though this is improving; [4]), as programs typically prioritize the development of scientist-to-scientist communication skills such as conference presentations and peer-reviewed articles. Scientists frequently cite lack of training and/or confidence in their science communication skills as a barrier to their participation in public-facing activities [4–8]. At the same time, there are ample opportunities for scientists to engage in science communication as a part of their official duties, as a secondary career (freelancing), or as a volunteer. As experts in their field, scientists can contribute through interviews in the media, writing op-eds or books for the popular press (see [9] for specific guidance on writing popular science books), public seminars or interactive events, social media posts (see [10] for specific suggestions on how to get started on Twitter as scientist), and other modalities. I am a postdoctoral fellow and freelance science writer and editor. Here, I describe 10 simple rules for planning, developing, and evaluating science communication activities. Though I focus on scientists communicating with nonscientists, much of the advice applies to other forms of science communication such as expert-to-expert communication (e.g., talks and posters at conferences). As my goal is to guide inexperienced scientist-science communicators through the practical basics of getting started with science communication, the rules are ordered to encourage a step-by-step process (but note the integrative nature of science communication activities, Rule 10).",2023,PLoS Comput. Biol.
Computational and Statistical Analysis of Protein Mass Spectrometry Data,"High-throughput proteomics experiments involving tandem mass spectrometry produce large volumes of complex data that require sophisticated computational analyses. As such, the field offers many challenges for computational biologists. In this article, we briefly introduce some of the core computational and statistical problems in the field and then describe a variety of outstanding problems that readers of PLoS Computational Biology might be able to help solve.",2012,PLoS Comput. Biol.
Ten quick tips for editing Wikidata,This is a PLOS Computational Biology Software paper,2023,PLoS Comput. Biol.
Ten simple rules and a template for creating workflows-as-applications,This is a PLOS Computational Biology Software paper,2022,PLoS Comput. Biol.
Ten simple rules for working with other people’s code,This is a PLOS Computational Biology Methods paper.,2023,PLoS Comput. Biol.
Ten simple rules for serving as an editor,This is a PLOS Computational Biology Methods paper,2023,PLoS Comput. Biol.
Ten simple rules for quick and dirty scientific programming,This is a PLOS Computational Biology Software paper,2021,PLoS Comput. Biol.
Ten simple rules to cultivate belonging in collaborative data science research teams,This is a PLOS Computational Biology Methods paper.,2022,PLoS Comput. Biol.
Correction: Mathematical modeling of the molecular switch of TNFR1-mediated signaling pathways applying Petri net formalism and in silico knockout analysis,[This corrects the article DOI: 10.1371/journal.pcbi.1010383.].,2023,PLoS Comput. Biol.
Directing Experimental Biology: A Case Study in Mitochondrial Biogenesis,"Computational approaches have promised to organize collections of functional genomics data into testable predictions of gene and protein involvement in biological processes and pathways. However, few such predictions have been experimentally validated on a large scale, leaving many bioinformatic methods unproven and underutilized in the biology community. Further, it remains unclear what biological concerns should be taken into account when using computational methods to drive real-world experimental efforts. To investigate these concerns and to establish the utility of computational predictions of gene function, we experimentally tested hundreds of predictions generated from an ensemble of three complementary methods for the process of mitochondrial organization and biogenesis in Saccharomyces cerevisiae. The biological data with respect to the mitochondria are presented in a companion manuscript published in PLoS Genetics (doi:10.1371/journal.pgen.1000407). Here we analyze and explore the results of this study that are broadly applicable for computationalists applying gene function prediction techniques, including a new experimental comparison with 48 genes representing the genomic background. Our study leads to several conclusions that are important to consider when driving laboratory investigations using computational prediction approaches. While most genes in yeast are already known to participate in at least one biological process, we confirm that genes with known functions can still be strong candidates for annotation of additional gene functions. We find that different analysis techniques and different underlying data can both greatly affect the types of functional predictions produced by computational methods. This diversity allows an ensemble of techniques to substantially broaden the biological scope and breadth of predictions. We also find that performing prediction and validation steps iteratively allows us to more completely characterize a biological area of interest. While this study focused on a specific functional area in yeast, many of these observations may be useful in the contexts of other processes and organisms.",2009,PLoS Comput. Biol.
Correction: Opponent learning with different representations in the cortico-basal ganglia pathways can develop obsession-compulsion cycle,[This corrects the article DOI: 10.1371/journal.pcbi.1011206.].,2023,PLoS Comput. Biol.
Correction: A quantitative modelling approach for DNA repair on a population scale,[This corrects the article DOI: 10.1371/journal.pcbi.1010488.].,2023,PLoS Comput. Biol.
"Correction: Hybrid predictive coding: Inferring, fast and slow",[This corrects the article DOI: 10.1371/journal.pcbi.1011280.].,2023,PLoS Comput. Biol.
Correction: cytoNet: Spatiotemporal network analysis of cell communities,[This corrects the article DOI: 10.1371/journal.pcbi.1009846.].,2022,PLoS Comput. Biol.
On the choice of metric in gradient-based theories of brain function,"This is a PLOS Computational Biology Education paper. The idea that the brain functions so as to minimize certain costs pervades theoretical neuroscience. Because a cost function by itself does not predict how the brain finds its minima, additional assumptions about the optimization method need to be made to predict the dynamics of physiological quantities. In this context, steepest descent (also called gradient descent) is often suggested as an algorithmic principle of optimization potentially implemented by the brain. In practice, researchers often consider the vector of partial derivatives as the gradient. However, the definition of the gradient and the notion of a steepest direction depend on the choice of a metric. Because the choice of the metric involves a large number of degrees of freedom, the predictive power of models that are based on gradient descent must be called into question, unless there are strong constraints on the choice of the metric. Here, we provide a didactic review of the mathematics of gradient descent, illustrate common pitfalls of using gradient descent as a principle of brain function with examples from the literature, and propose ways forward to constrain the metric.",2018,PLoS Comput. Biol.
